Stats
16
24.623
20.846
3.777
8
24
38.061
35.993
2.068
15
20
42.225
23.309
18.917
19
26
50.952
37.036
13.918
26
28
39.154
35.104
4.052
20
20
35.738
22.061
13.680
19
30
39.225
16.266
22.960
21
20
31.902
30.176
1.729
18
30
33.060
32.785
.276
21
32
29.229
31.612
-2.381
19
42
51.240
36.186
15.056
34
54
57.071
39.495
17.578
39
31
28.596
18.492
10.108
20
34
34.956
21.724
13.236
26
33
32.144
28.565
3.581
24
42
37.278
52.806
-15.526
29
44
44.066
56.236
-12.166
35
42
41.886
25.590
16.297
34
30
24.841
21.284
3.559
21
26
20.255
16.102
4.155
18
18
8.880
5.067
3.813
8
30
23.035
8.780
14.256
21
50
47.346
30.205
17.144
44
46
30.759
32.300
-1.539
29
47
31.685
41.334
-9.646
31
48
36.223
36.783
-.559
36
22
9.923
8.900
1.023
10
42
28.876
2.302
26.577
30
28
20.090
5.296
14.795
21
46
37.164
31.591
5.576
39
58
43.497
21.115
22.384
46
40
20.573
16.225
4.350
22
16
7.285
7.530
-.245
8
46
32.008
30.834
1.176
36
29
22.882
8.224
14.661
26
41
18.305
9.810
8.497
21
21
6.952
9.901
-2.949
8
20
14.605
7.929
6.676
17
50
26.223
9.330
16.895
32
46
26.030
12.733
13.298
32
18
8.890
4.681
4.211
11
38
23.201
26.696
-3.492
29
38
27.970
20.779
7.194
35
33
19.889
8.201
11.689
25
15
6.284
1.859
4.425
8
38
21.151
21.263
-.111
27
44
28.539
16.961
11.581
37
48
25.592
-22.882
48.477
36
33
17.601
15.407
2.197
25
46
21.806
.658
21.150
31
19
11.163
12.974
-1.808
16
54
24.580
19.271
5.311
37
30
13.854
9.248
4.608
21
21
9.143
5.756
3.388
14
47
21.107
21.394
-.284
33
37
15.523
13.310
2.215
25
34
15.522
-3.862
19.385
25
38
18.595
17.873
.725
30
28
10.420
10.548
-.127
17
50
25.704
8.842
16.867
42
28
11.006
11.062
-.054
18
26
11.570
1.886
9.684
19
16
8.285
7.630
.656
14
24
7.963
6.501
1.462
14
61
25.159
-7.772
32.935
45
55
20.516
21.728
-1.209
37
49
19.737
5.287
14.453
36
52
21.797
23.677
-1.877
40
14
4.887
16.091
-11.205
9
53
21.071
11.429
9.646
39
31
12.865
2.354
10.511
25
42
14.706
1.746
12.964
29
24
9.240
-2.878
12.118
19
41
15.263
7.719
7.547
32
47
14.295
38.449
-24.152
32
35
12.939
18.004
-5.063
30
46
11.433
5.120
6.315
27
41
12.287
20.121
-7.833
31
53
13.777
6.451
7.329
36
40
10.316
.684
9.633
27
17
3.231
-.614
3.844
9
44
9.263
10.933
-1.667
28
46
10.481
6.251
4.231
32
34
8.170
12.993
-4.821
25
18
3.198
1.478
1.720
10
33
6.754
4.613
2.144
23
28
4.690
16.544
-11.853
16
41
7.315
6.019
1.297
25
48
8.756
7.363
1.394
30
45
7.070
14.533
-7.460
25
38
8.475
8.696
-.220
30
39
6.683
-.323
7.007
24
38
6.658
14.417
-7.756
26
20
1.986
5.326
-3.340
8
47
7.078
-6.823
13.903
30
38
5.865
17.072
-11.206
26
39
6.236
9.870
-3.631
28
37
4.676
13.424
-8.748
23
44
5.171
-2.895
8.067
26
30
2.764
-.334
3.099
14
47
6.761
18.121
-11.358
36
23
2.560
5.863
-3.304
14
48
6.205
-8.113
14.319
37
33
4.203
-3.244
7.449
26
26
3.534
-13.706
17.242
23
30
2.371
-12.873
15.246
16
16
1.332
-2.964
4.297
9
35
2.616
-.405
3.022
18
32
2.565
2.843
-.278
18
34
3.781
-4.812
8.596
27
50
4.764
3.725
1.042
36
41
2.602
3.328
-.725
27
37
2.536
1.301
1.235
27
40
2.400
23.023
-20.622
28
38
1.987
-8.656
10.644
24
43
1.920
2.118
-.196
24
40
1.921
11.922
-9.999
26
22
.556
-2.349
2.904
11
20
.931
-3.560
4.491
19
49
1.530
-3.323
4.856
35
51
1.294
-23.510
24.806
33
38
.975
2.296
-1.319
26
35
.597
-2.441
3.040
20
16
.234
-3.236
3.470
11
42
.259
6.910
-6.648
26
46
.286
8.028
-7.740
34
43
.224
-.207
.433
27
41
.101
-15.244
15.347
26
34
-.123
5.812
-5.933
21
23
-.620
7.414
-8.032
15
40
-1.290
19.690
-20.977
29
27
-.749
-.255
-.492
14
33
-1.665
6.917
-8.580
22
39
-2.388
12.041
-14.427
29
29
-1.857
-5.138
3.282
19
34
-3.005
18.581
-21.586
28
30
-2.154
-1.258
-.895
20
25
-1.241
-2.855
1.614
11
28
-1.645
-2.853
1.209
14
50
-4.295
-1.191
-3.101
36
14
-1.251
-1.614
.363
10
32
-2.466
7.685
-10.148
19
30
-2.423
4.138
-6.562
18
36
-3.814
-4.612
.800
25
30
-2.304
-4.393
2.090
15
34
-5.597
-22.190
16.595
31
37
-4.951
3.259
-8.208
27
43
-5.126
11.294
-16.419
28
32
-5.004
-.405
-4.597
27
46
-6.036
-8.404
2.368
32
39
-5.825
-28.414
22.591
29
37
-5.646
3.259
-8.904
24
45
-7.668
-16.003
8.338
32
36
-5.724
-6.810
1.087
22
47
-7.646
-8.382
.737
29
18
-3.224
5.645
-8.867
12
22
-3.505
-4.101
.596
13
36
-6.228
-16.263
10.038
23
33
-7.062
2.883
-9.943
26
36
-6.134
-10.242
4.109
22
41
-7.671
-2.581
-5.090
27
28
-4.903
-4.498
-.404
17
43
-7.326
-13.739
6.413
25
37
-6.067
12.674
-18.739
20
19
-3.089
-3.018
-.071
10
49
-10.331
7.125
-17.455
33
48
-10.079
-22.662
12.584
32
28
-6.174
-13.683
7.510
17
45
-12.810
-9.697
-3.112
32
39
-8.923
-2.872
-6.050
22
23
-4.938
6.323
-11.261
12
14
-5.189
3.383
-8.571
12
32
-10.392
-8.722
-1.669
24
46
-12.197
-9.379
-2.818
28
42
-11.894
-28.879
16.986
26
31
-10.082
-10.927
.848
22
19
-4.941
-7.822
2.880
10
29
-12.147
5.424
-17.569
24
32
-13.268
-17.240
3.974
26
31
-10.618
2.677
-13.294
20
36
-12.919
12.009
-24.927
23
30
-11.829
-14.058
2.229
20
36
-15.573
-17.056
1.484
26
34
-11.107
-28.371
17.266
18
20
-6.182
-3.531
-2.651
10
33
-13.542
-12.255
-1.286
21
38
-15.752
-15.652
-.097
24
17
-8.362
-4.879
-3.482
12
32
-14.117
-14.439
.323
20
17
-5.296
-1.087
-4.209
7
40
-17.129
-6.778
-10.352
22
37
-16.904
-1.539
-15.365
21
42
-25.973
-25.022
-.949
32
21
-12.406
-8.072
-4.335
15
15
-6.908
-1.008
-5.900
8
29
-16.351
.535
-16.885
18
36
-16.557
-5.358
-11.199
18
32
-18.432
-26.981
8.549
20
26
-12.337
-7.325
-5.012
13
14
-8.572
-3.775
-4.797
9
30
-18.533
-12.410
-6.123
18
42
-25.216
-10.486
-14.728
24
33
-21.612
-8.452
-13.158
20
17
-13.165
-12.957
-.207
12
35
-30.792
-43.512
12.722
27
19
-13.926
-3.402
-10.525
12
30
-24.364
-15.482
-8.880
20
27
-15.929
-6.662
-9.267
13
39
-31.143
-21.076
-10.066
25
19
-15.179
-9.798
-5.380
12
30
-35.972
-14.902
-21.068
26
30
-27.933
-5.770
-22.163
20
16
-16.169
-11.692
-4.475
11
28
-22.136
-7.743
-14.392
15
14
-8.860
-17.020
8.160
6
19
-15.171
-11.725
-3.448
10
14
-7.657
-5.638
-2.020
5
36
-45.492
-35.427
-10.064
28
34
-31.397
-36.025
4.628
18
18
-15.924
-15.449
-.476
9
14
-14.165
-9.564
-4.600
8
19
-18.171
-8.300
-9.873
10
21
-23.404
-8.708
-14.696
10
18
-15.348
-16.191
.843
6
28
-41.175
-33.811
-7.362
16
23
-26.750
-23.947
-2.803
10
34
-73.881
-68.004
-5.876
27
31
-47.339
-30.435
-16.902
17
14
-24.467
-20.716
-3.750
8
14
-22.860
-11.850
-11.010
6
20
-51.803
-34.656
-17.147
11
