Row Labels,Sum of TOTAL ROUNDS,Sum of GREENS HIT_x,Sum of # OF BIRDIE OR BETTER,Sum of TOTAL SG:ARG,Sum of RATING,Sum of PAR OR BETTER,Sum of # BUNKERS,Sum of # SAVES,Sum of TOTAL BIRDIES,Sum of TOTAL PUTTS,Sum of BIRDIE CONVERSION,Sum of TOTAL ROUGH,Sum of TOTAL FAIRWAY BUNKERS,Sum of TOTAL RIGHT ROUGH,Sum of TOTAL LEFT ROUGH,Sum of # OF DRIVES,Sum of TOTAL DISTANCE_y,Sum of ALL DRIVES,Sum of FAIRWAYS HIT_x,Sum of SCRAMBLING RANK_x24
Paul Casey,28,355,34,-6.845,7.9,82,42,15,6,830,33.14,63,6,27,36,228,67138,294.5,250,193
Peter Malnati,39,426,29,4.324,5.5,179,52,25,12,1082,33.25,140,29,78,62,406,115045,283.4,291,27
Peter Uihlein,29,354,26,10.802,6.6,102,41,25,4,842,30.79,96,20,48,48,266,77006,289.5,194,87
Phil Mickelson,27,314,23,5.783,8,103,63,33,3,765,33.44,61,12,16,45,196,58055,296.2,212,102
Rafa Cabrera Bello,25,285,12,-3.027,4.7,101,53,20,4,719,30.53,42,11,21,21,154,44227,287.2,225,78
Rafael Campos,29,323,21,6.428,8.1,119,54,27,9,829,34.16,97,13,67,30,252,73155,290.3,218,103
Rhein Gibson,42,490,23,6.148,6.1,158,76,43,16,1207,31.9,118,36,67,51,364,103652,284.8,304,110
Richy Werenski,26,309,15,4.953,5.4,94,50,20,7,741,29.55,91,20,41,50,266,75479,283.8,216,116
Rickie Fowler,20,237,26,-0.554,6.9,77,39,17,1,570,34.18,66,14,36,30,242,69944,289,185,61
Ricky Barnes,28,307,11,6.684,2.8,130,48,28,5,780,31.27,85,17,51,34,238,64524,271.1,200,19
Rob Oppenheim,49,569,31,18.638,3.7,196,78,41,11,1414,26.73,145,24,75,70,462,127319,275.6,428,60
Robby Shelton,49,593,40,-10.848,5.9,158,68,34,8,1438,29.61,131,30,62,69,490,140354,286.4,431,197
Robert Garrigus,19,213,6,2.597,6.9,71,37,14,1,561,25.47,47,10,16,31,140,40076,286.3,136,192
Robert Streb,40,489,22,-5.399,5.9,127,71,27,1,1174,29.57,80,22,26,54,308,87704,284.8,332,194
Roberto Castro,23,284,10,2.768,3.8,80,29,12,3,688,23.32,50,15,25,25,196,55072,281,220,71
Roger Sloan,33,380,18,3.093,5,131,66,36,6,956,27.51,84,20,40,44,280,80788,288.5,271,78
Rory McIlroy,24,307,33,6.991,9.4,88,35,17,3,684,34.97,75,19,31,44,210,64706,308.1,187,1
Rory Sabbatini,42,510,32,6.682,4.8,145,79,50,7,1233,28.49,96,20,63,33,364,102591,281.8,363,119
Russell Henley,35,445,21,5.842,3.8,115,46,20,7,1030,24.72,116,27,62,54,420,118031,281,312,66
Russell Knox,47,605,35,-0.25,6.6,157,67,38,7,1385,29.14,114,45,73,41,462,133823,289.7,407,22
Ryan Armour,36,441,25,7.483,3.1,116,54,24,3,1071,29.32,64,11,31,33,322,88799,275.8,377,178
Ryan Brehm,42,522,40,-5.744,9.6,129,68,33,9,1268,29.29,124,33,58,66,336,102357,304.6,278,190
Ryan Moore,28,334,17,1.203,4.6,108,51,29,3,799,30.03,65,20,24,41,252,71782,284.8,267,46
Ryan Palmer,34,415,39,-7.079,8.1,119,60,28,5,983,33.57,75,27,34,41,354,104102,294.1,313,91
Ryo Ishikawa,14,153,6,1.969,5.1,46,21,11,0,422,28.1,25,7,15,10,84,23986,285.5,108,230
Sam Burns,34,386,45,-23.691,9,122,62,20,8,985,31.51,147,42,85,62,434,128790,296.8,250,202
Sam Ryder,50,600,42,-1.518,7.2,189,70,33,18,1439,31.05,150,31,92,58,504,146794,291.3,420,52
Sangmoon Bae,18,207,10,-4.211,,62,27,13,3,526,28.78,45,8,18,27,126,36192,287.2,144,213
Satoshi Kodaira,31,342,15,-7.825,3.1,117,61,31,0,932,20.82,53,16,21,32,238,64924,272.8,294,201
Scott Brown,46,526,38,0.885,4.4,181,79,36,7,1339,28.24,109,18,56,53,448,125373,279.9,441,100
Scott Harrington,46,549,42,1.805,8.5,162,82,48,8,1352,30.05,133,35,64,69,448,130851,292.1,360,136
Scott Piercy,44,525,42,-4.238,6.4,161,64,27,7,1283,28.49,116,26,75,41,392,114388,291.8,384,93
Scott Stallings,41,503,33,4.569,6.8,143,53,26,4,1190,29.72,113,30,54,59,378,108715,287.6,317,85
Scottie Scheffler,48,596,54,2.399,8.4,166,86,45,11,1374,36.13,150,34,65,85,504,150018,297.7,414,69
Seamus Power,22,268,11,3.282,7.5,67,30,14,2,627,35.58,46,13,23,23,154,44050,286,173,215
Sebastián Muñoz,50,602,70,2.11,7.8,194,62,32,12,1415,34.44,182,34,83,99,620,182082,293.7,427,23
Sebastian Cappelen,43,497,23,-2.099,8.5,170,74,34,12,1239,31.52,129,26,81,48,350,103104,294.6,311,74
Sepp Straka,38,455,34,-2.819,8.3,139,56,27,7,1121,26.65,116,24,59,57,420,121717,289.8,329,88
Sergio Garcia,20,241,17,-0.955,8.6,68,38,19,3,592,29.05,37,4,19,18,112,35360,315.7,171,156
Shane Lowry,16,201,9,1.048,6.8,55,21,13,1,475,27.5,35,4,10,25,112,32868,293.5,134,50
Shawn Stefani,26,320,14,-1.998,8,87,47,26,4,767,31.25,47,12,22,25,182,52323,287.5,220,122
Si Woo Kim,38,425,27,5.376,6.9,149,79,37,8,1099,29.25,108,25,55,53,336,98032,291.8,289,150
Steve Stricker,16,151,9,5.344,3.8,88,40,26,2,441,26.67,45,12,15,30,154,42693,277.2,144,34
Stewart Cink,31,379,23,-6.13,7,100,69,34,13,904,30.34,108,32,67,41,350,99461,284.2,238,181
Sung Kang,47,575,67,-8.298,8.2,154,99,44,22,1381,32.11,164,28,80,84,508,152720,300.6,383,169
Sungjae Im,54,667,62,-1.369,7.1,194,93,57,8,1525,34.29,140,41,74,66,546,160022,293.1,478,45
Talor Gooch,50,607,58,4.402,6.4,173,89,48,13,1442,30.86,175,47,91,84,588,167677,285.2,407,118
"Ted Potter, Jr.",30,379,17,-2.1,5.3,101,56,23,5,884,28.31,86,25,30,56,280,79657,284.5,253,58
Tim Wilkinson,32,385,17,3.524,4.6,121,51,23,6,922,29.09,52,11,30,22,252,69308,275,312,48
Tom Hoge,42,499,36,-3.02,5,170,71,36,7,1193,32.33,135,31,78,57,476,135026,283.7,371,16
Tommy Fleetwood,22,278,13,-1.87,7.9,64,36,22,5,660,28.78,40,7,25,15,140,41599,297.1,191,200
Tony Finau,32,404,33,11.042,7.4,108,47,21,9,922,32.43,83,23,41,42,266,78736,296,241,56
Troy Merritt,36,426,29,-5.496,5,128,61,25,8,1041,31.22,89,23,57,32,322,90594,281.3,320,147
Tyler Duncan,45,540,35,-10.79,4,156,64,27,7,1312,28.81,111,25,64,47,452,125331,277.3,439,144
Tyler McCumber,43,518,33,-3.209,9.4,147,67,25,12,1261,30.69,135,22,82,53,392,116967,298.4,328,151
Tyrrell Hatton,16,208,12,4.354,6.3,49,20,9,2,463,31.73,29,9,14,15,112,32721,292.2,147,76
Vaughn Taylor,47,543,25,-3.639,3.3,178,102,48,6,1321,33.95,102,32,51,51,420,115650,275.4,447,123
Viktor Hovland,30,361,15,-14.75,8.2,101,58,25,0,864,32.31,43,22,17,26,196,57384,292.8,278,176
Vince Covello,21,252,11,-7.873,7.7,72,36,20,8,621,27.6,61,10,44,17,210,60291,287.1,174,156
Vincent Whaley,30,357,23,-3.7,8.1,107,45,14,7,868,32.77,83,24,48,35,280,81177,289.9,245,127
Webb Simpson,20,261,27,6.139,5.7,67,27,17,5,561,37.31,73,9,38,35,266,77472,291.2,185,5
Wes Roach,36,439,13,3.352,6.2,124,56,22,3,1055,30.37,59,19,21,38,252,71136,282.3,320,112
Will Gordon,20,250,10,-4.575,9.1,64,24,13,2,596,28.92,48,14,23,25,140,41490,296.4,148,132
Wyndham Clark,41,474,46,3.138,8.2,153,61,33,6,1178,33.26,137,29,70,67,364,107824,296.2,302,140
Xander Schauffele,30,390,40,3.998,8.5,99,47,24,11,876,32.05,92,19,49,43,298,89995,302,253,18
Xinjun Zhang,55,670,53,10.794,5.7,183,93,47,13,1587,32.49,156,32,88,68,518,149094,287.8,460,155
Zac Blair,48,540,24,3.865,4.1,205,91,50,9,1355,32.28,128,29,72,56,448,123610,275.9,422,49
Zach Johnson,33,394,27,-3.892,4.1,127,51,27,3,950,29.19,103,21,49,54,364,101388,278.5,291,47
Zack Sucher,30,370,23,2.188,8.4,91,52,27,4,888,31.62,90,28,41,49,252,74850,297,214,211
Grand Total,7697,92654,6347,63.359,1388,27334,12678,6314,1522,223670,6956.57,21136,4857,11090,10046,72740,20967690,66523.3,65400,26766
