RANK THIS WEEK_x,RANK LAST WEEK_x,PLAYER NAME,ROUNDS_x,AVG.,TOTAL DISTANCE,TOTAL DRIVES,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,%_x,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,%_y,GREENS HIT_x,# HOLES,RELATIVE/PAR,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,AVG_x,GIR PUTTS,GREENS HIT_y,BIRDIE CONVERSION,GIR RANK,RANK THIS WEEK,RANK LAST WEEK,ROUNDS,AVG_y,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
T157,T155,Robert Streb,40,292.7,23419,80,135,136,40,59.39,332,559,T81,104,40,67.92,489,720,-0.28,T62,T67,40,1.751,856,489,29.57,,T151,T143,40,29.35,1174,40,24
159,T147,Mark Hubbard,49,292.6,28678,98,61,63,49,64.67,443,685,T119,106,49,66.67,588,882,-0.32,T18,T22,49,1.724,1014,588,32.08,,T49,54,49,28.59,1401,49,23
160,T132,Rafa Cabrera Bello,25,292.5,7604,26,52,47,25,65.22,225,345,T199,197,25,63.33,285,450,-0.28,T119,T57,25,1.768,504,285,30.53,,T67,T46,25,28.76,719,25,24
161,159,Kramer Hickok,37,292.2,21620,74,53,T57,37,65.18,337,517,176,194,37,64.56,430,666,-0.22,T204,T200,37,1.814,780,430,26.34,,T106,T96,37,28.97,1072,37,23
162,T155,Bud Cauley,38,292.0,22190,76,153,151,38,58.27,310,532,155,T132,38,65.64,449,684,-0.27,T91,T72,38,1.7590000000000001,790,449,27.8,,43,43,38,28.53,1084,38,23
163,160,Wes Roach,36,291.6,20998,72,77,84,36,63.62,320,503,89,113,36,67.75,439,648,-0.27,T131,T129,36,1.774,779,439,30.37,,T145,T135,36,29.31,1055,36,21
164,161,Mark Anderson,37,291.5,21570,74,136,137,37,59.38,307,517,137,T155,37,66.22,441,666,-0.23,T192,T187,37,1.807,797,441,25.28,,T129,T117,37,29.16,1079,37,24
165,158,Patrick Reed,30,291.2,12811,44,187,165,30,55.71,234,420,181,T175,30,64.44,348,540,-0.36,1,1,30,1.681,585,348,37.86,,2,1,30,27.7,831,30,22
T166,T163,Brice Garnett,40,290.7,23255,80,60,65,40,64.76,362,559,55,67,40,68.89,496,720,-0.25,T141,T140,40,1.78,883,496,27.62,,119,108,40,29.05,1162,40,23
T166,T163,Bo Van Pelt,28,290.7,16279,56,201,199,28,53.96,211,391,T201,T207,28,63.29,319,504,-0.22,217,213,28,1.828,583,319,26.65,,T216,212,28,30.07,842,28,24
168,165,Chase Seiffert,44,290.4,25559,88,88,93,44,62.93,387,615,87,T111,44,67.8,537,792,-0.29,T74,T80,44,1.754,942,537,30.09,,T134,121,44,29.2,1285,44,26
169,166,Brandt Snedeker,29,290.3,16835,58,121,127,29,60.49,245,405,T105,130,29,67.24,351,522,-0.3,26,30,29,1.729,607,351,31.62,,10,T8,29,28.14,816,29,25
170,167,John Huh,26,290.2,15089,52,80,87,26,63.46,231,364,157,172,26,65.6,307,468,-0.32,9,T11,26,1.71,525,307,33.66,,9,7,26,28.12,731,26,24
T171,168,John Senden,23,290.1,13344,46,114,118,23,61.06,196,321,T201,T207,23,63.29,262,414,-0.21,T209,T204,23,1.817,476,262,27.1,,T210,T205,23,29.96,689,23,24
T171,169,Troy Merritt,36,290.1,16248,56,71,79,36,64.13,320,499,T151,T70,36,65.74,426,648,-0.28,T95,T108,36,1.761,750,426,31.22,,T98,T135,36,28.92,1041,36,25
173,162,Pat Perez,35,289.9,15654,54,86,71,35,63.09,306,485,40,T40,35,69.68,439,630,-0.27,T160,T147,35,1.786,784,439,28.77,,T200,187,35,29.8,1043,35,24
T174,172,Dylan Frittelli,50,289.8,24346,84,T140,143,50,59.0,413,700,165,160,50,64.89,584,900,-0.26,T116,T118,50,1.767,1032,584,30.29,,T67,79,50,28.76,1438,50,22
T174,170,Kiradech Aphibarnrat,17,289.8,7536,26,90,95,17,62.87,149,237,T141,T163,17,66.01,202,306,-0.25,T127,T125,17,1.7719999999999998,358,202,29.21,,T103,T91,17,28.94,492,17,26
T176,171,Adam Long,54,289.4,26629,92,37,30,54,66.62,503,755,T61,44,54,68.62,667,972,-0.29,T71,T67,54,1.7530000000000001,1169,667,31.43,,T96,T109,54,28.91,1561,54,24
T176,174,Brandon Wu,16,289.4,9261,32,24,28,16,68.16,152,223,111,138,16,67.01,193,288,-0.27,135,135,16,1.777,343,193,29.53,,T120,T109,16,29.06,465,16,23
178,T175,Roger Sloan,33,289.1,19083,66,145,150,33,58.66,271,462,190,201,33,63.97,380,594,-0.24,181,T176,33,1.8,684,380,27.51,,T106,T96,33,28.97,956,33,25
179,177,Andrew Landry,33,289.0,19071,66,42,46,33,65.94,304,461,154,169,33,65.66,390,594,-0.28,T91,T97,33,1.7590000000000001,686,390,31.36,,T67,T67,33,28.76,949,33,21
