RANK THIS WEEK_x,RANK LAST WEEK_x,PLAYER NAME,ROUNDS_x,AVG.,TOTAL DISTANCE,TOTAL DRIVES,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,%_x,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RANK THIS WEEK_x,RANK LAST WEEK_x,ROUNDS_x,%_y,GREENS HIT_x,# HOLES,RELATIVE/PAR,RANK THIS WEEK_y,RANK LAST WEEK_y,ROUNDS_y,AVG_x,GIR PUTTS,GREENS HIT_y,BIRDIE CONVERSION,GIR RANK,RANK THIS WEEK,RANK LAST WEEK,ROUNDS,AVG_y,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,4,Bryson DeChambeau,26,321.3,16706,52,T122,119,26,60.44,220,364,52,20,26,69.02,323,468,-0.33,T46,T38,26,1.746,564,323,34.16,,48,T56,26,28.58,743,26,25
2,3,Rory McIlroy,24,320.2,10245,32,180,172,24,56.33,187,332,18,T13,24,71.06,307,432,-0.34,T46,T27,24,1.746,536,307,34.97,,T37,23,24,28.5,684,24,25
3,5,Cameron Champ,38,319.8,24305,76,159,152,38,57.76,309,535,53,48,38,69.01,472,684,-0.32,T109,T97,38,1.765,833,472,35.03,,T155,T146,38,29.37,1116,38,24
4,6,Bubba Watson,30,318.6,14018,44,178,186,30,56.49,235,416,T151,T128,30,65.74,355,540,-0.3,T127,T127,30,1.7719999999999998,629,355,29.46,,T106,112,30,28.97,869,30,21
5,8,Sergio Garcia,20,316.6,5065,16,105,107,20,61.96,171,276,112,139,20,66.94,241,360,-0.25,196,T191,20,1.8090000000000002,436,241,29.05,,T185,T178,20,29.6,592,20,27
T6,7,Jason Kokrak,33,315.4,15771,50,162,168,33,57.64,264,458,T93,57,33,67.68,402,594,-0.24,T219,T215,33,1.831,736,402,27.86,,205,209,33,29.88,986,33,25
T6,9,Grayson Murray,29,315.4,18291,58,194,194,29,54.68,222,406,195,205,29,63.6,332,522,-0.3,T109,T108,29,1.765,586,332,32.42,,T115,T105,29,29.03,842,29,23
8,10,Kurt Kitayama,18,315.1,8824,28,200,198,18,54.18,136,251,186,199,18,64.2,208,324,-0.3,T30,35,18,1.7309999999999999,360,208,30.1,,94,T81,18,28.89,520,18,25
9,11,Ryan Brehm,42,314.7,26433,84,230,227,42,47.36,278,587,51,66,42,69.05,522,756,-0.27,T213,T209,42,1.824,952,522,29.29,,T220,T215,42,30.19,1268,42,24
10,13,Ryo Ishikawa,14,313.2,3758,12,181,185,14,56.25,108,192,224,224,14,60.71,153,252,-0.24,T209,T204,14,1.817,278,153,28.1,,218,213,14,30.14,422,14,27
11,1,Jazz Janewattananond,18,312.9,3755,12,57,48,18,64.92,161,248,215,193,18,62.04,201,324,-0.27,T112,T78,18,1.766,355,201,29.85,,T56,T50,18,28.67,516,18,25
12,16,Gary Woodland,30,312.4,13745,44,51,55,30,65.48,275,420,6,9,30,72.59,392,540,-0.3,T148,T145,30,1.781,698,392,31.71,,T167,T156,30,29.47,884,30,25
13,17,Brandon Hagy,36,311.7,22440,72,217,215,36,51.69,260,503,103,127,36,67.28,436,648,-0.27,T164,T160,36,1.787,779,436,30.57,,T145,T135,36,29.31,1055,36,23
14,2,Danny Willett,18,311.6,6232,20,203,187,18,53.57,135,252,209,T166,18,62.96,204,324,-0.24,T204,T211,18,1.814,370,204,30.88,,T136,195,18,29.22,526,18,25
15,14,Scottie Scheffler,48,311.5,29907,96,109,114,48,61.61,414,672,54,31,48,68.98,596,864,-0.34,T27,T22,48,1.73,1031,596,36.13,,53,T69,48,28.63,1374,48,23
T16,22,Sam Burns,34,310.8,21131,68,211,211,34,52.52,250,476,T206,216,34,63.07,386,612,-0.31,T97,T97,34,1.7619999999999998,680,386,31.51,,T106,65,34,28.97,985,34,20
T16,T19,Isaiah Salinda,16,310.8,9944,32,177,181,16,56.5,126,223,156,170,16,65.63,189,288,-0.26,T197,T193,16,1.81,342,189,30.16,,223,218,16,30.25,484,16,26
T16,T19,Shane Lowry,16,310.8,4973,16,115,120,16,60.91,134,220,38,47,16,69.79,201,288,-0.24,T148,T145,16,1.781,358,201,27.5,,192,186,16,29.69,475,16,26
19,15,Adam Scott,26,310.3,11172,36,198,T201,26,54.44,196,360,50,43,26,69.23,324,468,-0.34,T13,T11,26,1.716,556,324,33.75,,34,T30,26,28.46,740,26,26
20,,Matt Wallace,14,310.2,6203,20,T195,,14,54.59,107,196,228,,14,58.73,148,252,-0.28,T105,,14,1.764,261,148,31.97,,T54,,14,28.64,401,14,24
21,T19,Matthew Wolff,36,310.0,17358,56,169,157,36,56.94,287,504,182,152,36,64.35,417,648,-0.29,T189,T197,36,1.806,753,417,30.53,,T160,183,36,29.39,1058,36,24
22,23,Tyler McCumber,43,309.9,26648,86,197,195,43,54.58,328,601,113,140,43,66.93,518,774,-0.27,T179,T173,43,1.797,931,518,30.69,,149,141,43,29.33,1261,43,23
23,12,Tommy Fleetwood,22,309.5,6189,20,T92,69,22,62.83,191,304,T32,8,22,70.2,278,396,-0.24,216,T204,22,1.827,508,278,28.78,,214,210,22,30.0,660,22,27
24,T24,Louis Oosthuizen,14,309.3,3711,12,100,T101,14,62.5,120,192,T162,T182,14,65.08,164,252,-0.32,T4,T4,14,1.7009999999999998,279,164,32.52,,T20,T16,14,28.29,396,14,23
T25,26,Jon Rahm,20,309.1,12362,40,66,70,20,64.44,183,284,27,37,20,70.56,254,360,-0.36,T4,T4,20,1.7009999999999998,432,254,34.26,,T17,15,20,28.25,565,20,24
T25,18,Byeong Hun An,47,309.1,21639,70,T195,197,47,54.59,357,654,101,123,47,67.38,570,846,-0.28,T88,T36,47,1.758,1002,570,30.81,,52,24,47,28.62,1345,47,23
27,28,Lucas Bjerregaard,17,308.8,10499,34,231,228,17,44.12,105,238,T206,211,17,63.07,193,306,-0.3,T62,T67,17,1.751,338,193,31.77,,T67,T67,17,28.76,489,17,26
T28,T24,Patrick Rodgers,61,308.3,37618,122,223,212,61,50.88,434,853,127,122,61,66.58,731,1098,-0.3,T48,49,61,1.7469999999999999,1277,731,31.0,,T98,T86,61,28.92,1764,61,24
T28,29,Dustin Johnson,16,308.3,9867,32,98,100,16,62.56,142,227,164,185,16,64.93,187,288,-0.34,T23,T27,16,1.7269999999999999,323,187,31.89,,T37,T39,16,28.5,456,16,24
30,,Tyrrell Hatton,16,307.8,4924,16,48,,16,65.63,147,224,T9,,16,72.22,208,288,-0.31,T44,,16,1.745,363,208,31.73,,T103,,16,28.94,463,16,23
31,32,Cameron Davis,38,307.4,23366,76,165,164,38,57.44,305,531,T76,T96,38,68.13,466,684,-0.25,T211,T207,38,1.818,847,466,29.37,,148,T139,38,29.32,1114,38,23
32,31,Kevin Tway,34,307.2,13517,44,229,226,34,47.88,226,472,204,T188,34,63.24,387,612,-0.28,T141,T131,34,1.78,689,387,30.05,,T127,131,34,29.15,991,34,21
33,,Brooks Koepka,14,307.1,7370,24,214,,14,52.04,102,196,217,,14,61.9,156,252,-0.23,T182,,14,1.801,281,156,27.56,,T188,,14,29.64,415,14,27
34,33,Jhonattan Vegas,32,307.0,17194,56,95,97,32,62.72,281,448,56,T70,32,68.75,396,576,-0.27,T211,T207,32,1.818,720,396,29.62,,203,199,32,29.84,955,32,24
35,27,Danny Lee,40,306.7,19627,64,163,166,40,57.55,320,556,128,T88,40,66.53,479,720,-0.28,T112,T106,40,1.766,846,479,31.59,,81,T100,40,28.83,1153,40,22
36,37,Graham DeLaet,14,306.5,8581,28,T172,T177,14,56.63,111,196,60,T75,14,68.65,173,252,-0.18,230,227,14,1.8730000000000002,324,173,24.28,,230,227,14,30.93,433,14,27
37,34,Xander Schauffele,30,306.4,13483,44,126,116,30,60.24,253,420,T9,6,30,72.22,390,540,-0.28,T97,T101,30,1.7619999999999998,687,390,32.05,,T134,T135,30,29.2,876,30,24
T38,T39,Branden Grace,23,306.3,11641,38,171,176,23,56.7,182,321,46,58,23,69.32,287,414,-0.24,T182,T178,23,1.801,517,287,28.22,,T210,T205,23,29.96,689,23,23
T38,30,Tony Finau,32,306.3,14701,48,199,192,32,54.28,241,444,36,32,32,70.14,404,576,-0.3,T44,T31,32,1.745,705,404,32.43,,T78,T50,32,28.81,922,32,25
T40,43,Scott Harrington,46,305.8,28132,92,186,170,46,55.99,360,643,132,86,46,66.3,549,828,-0.27,T172,T178,46,1.791,983,549,30.05,,T160,T188,46,29.39,1352,46,23
T40,T39,Wyndham Clark,41,305.8,20180,66,205,T201,41,53.08,302,569,184,171,41,64.23,474,738,-0.31,T48,T45,41,1.7469999999999999,828,474,33.26,,63,T59,41,28.73,1178,41,23
42,T35,Beau Hossler,51,305.7,31178,102,209,203,51,52.73,376,713,146,102,51,65.9,605,918,-0.3,T42,T45,51,1.744,1055,605,30.4,,47,64,51,28.57,1457,51,22
43,T35,Sung Kang,47,305.4,23819,78,151,147,47,58.3,383,657,80,72,47,67.97,575,846,-0.27,T148,162,47,1.781,1024,575,32.11,,T157,T161,47,29.38,1381,47,25
44,42,Lanto Griffin,58,304.9,35368,116,152,142,58,58.28,475,815,150,136,58,65.8,687,1044,-0.3,T71,T57,58,1.7530000000000001,1204,687,32.94,,27,T28,58,28.38,1646,58,23
45,38,Hideki Matsuyama,42,304.7,18281,60,127,T121,42,60.1,351,584,13,7,42,71.56,541,756,-0.32,T55,54,42,1.749,946,541,33.09,,T113,T96,42,29.02,1219,42,23
46,41,Harold Varner III,46,304.5,23143,76,119,111,46,60.56,387,639,T57,25,46,68.72,569,828,-0.28,T101,T85,46,1.7630000000000001,1003,569,30.05,,T138,T150,46,29.24,1345,46,25
47,49,Paul Casey,28,304.4,12174,40,T72,T76,28,63.94,250,391,30,39,28,70.44,355,504,-0.31,T67,T72,28,1.7519999999999998,622,355,33.14,,T188,181,28,29.64,830,28,25
48,T44,Sebastián Muñoz,50,304.2,30419,100,118,117,50,60.65,427,704,114,T115,50,66.89,602,900,-0.32,T35,44,50,1.7380000000000002,1046,602,34.44,,T22,19,50,28.3,1415,50,22
49,T44,Charles Howell III,43,304.0,18847,62,185,173,43,56.02,335,598,24,17,43,70.67,547,774,-0.27,T123,T111,43,1.77,968,547,29.67,,T174,T169,43,29.51,1269,43,25
50,51,Will Gordon,20,303.8,12153,40,208,207,20,52.86,148,280,45,T54,20,69.44,250,360,-0.25,208,203,20,1.8159999999999998,454,250,28.92,,T200,T196,20,29.8,596,20,26
51,48,Harris English,42,303.4,25483,84,82,89,42,63.27,372,588,5,2,42,73.02,552,756,-0.28,T74,T88,42,1.754,968,552,29.53,,124,142,42,29.1,1222,42,24
T52,T54,Sebastian Cappelen,43,303.3,26083,86,216,214,43,51.75,311,601,185,198,43,64.21,497,774,-0.29,T116,114,43,1.767,878,497,31.52,,T78,T71,43,28.81,1239,43,24
T52,T54,Cameron Smith,34,303.3,15769,52,166,167,34,57.35,273,476,108,T132,34,67.16,411,612,-0.34,T20,T22,34,1.725,709,411,35.37,,T49,T48,34,28.59,972,34,25
T54,50,Carlos Ortiz,46,303.2,27890,92,190,190,46,55.12,355,644,T57,T50,46,68.72,569,828,-0.3,T80,T82,46,1.756,999,569,31.15,,T64,73,46,28.74,1322,46,22
T54,T56,Jordan Spieth,30,303.2,10916,36,227,224,30,47.95,199,415,221,221,30,61.3,331,540,-0.32,T13,16,30,1.716,568,331,33.13,,T22,18,30,28.3,849,30,24
T54,47,Sungjae Im,54,303.2,25466,84,79,85,54,63.56,478,752,T61,T54,54,68.62,667,972,-0.32,T18,T19,54,1.724,1150,667,34.29,,16,T20,54,28.24,1525,54,21
T54,T56,Francesco Molinari,19,303.2,9096,30,207,206,19,53.01,141,266,205,210,19,63.16,216,342,-0.25,T121,T116,19,1.7690000000000001,382,216,30.09,,T58,T56,19,28.68,545,19,21
T58,T60,Luke List,41,302.7,22401,74,168,171,41,56.97,327,574,67,83,41,68.43,505,738,-0.28,T160,T158,41,1.786,902,505,30.56,,178,T169,41,29.54,1211,41,24
T58,T60,Kristoffer Ventura,34,302.7,20585,68,137,138,34,59.37,282,475,166,186,34,64.87,397,612,-0.32,T112,T111,34,1.766,701,397,34.76,,T91,80,34,28.88,982,34,25
T60,T62,Daniel Berger,34,302.6,18154,60,41,43,34,66.03,311,471,75,95,34,68.14,417,612,-0.31,T78,T82,34,1.755,732,417,34.38,,46,45,34,28.56,971,34,24
T60,T62,Adam Schenk,46,302.6,22996,76,T140,144,46,59.0,377,639,70,T88,46,68.36,566,828,-0.25,T179,T173,46,1.797,1017,566,28.72,,112,T100,46,29.0,1334,46,21
T60,T56,Brendan Steele,38,302.6,23000,76,81,78,38,63.35,337,532,35,T21,38,70.18,480,684,-0.28,126,T123,38,1.771,850,480,31.25,,150,154,38,29.34,1115,38,23
63,64,Keegan Bradley,40,302.5,19362,64,129,T121,40,59.89,333,556,136,T80,40,66.25,477,720,-0.24,T187,T181,40,1.805,861,477,26.74,,T157,T166,40,29.38,1175,40,22
64,65,Nick Watney,33,302.3,19950,66,T146,T153,33,58.57,270,461,14,19,33,71.55,425,594,-0.28,T52,T57,33,1.7480000000000002,743,425,31.13,,T160,149,33,29.39,970,33,22
65,T66,Rafael Campos,29,302.2,17527,58,202,200,29,53.69,218,406,218,218,29,61.88,323,522,-0.3,T40,51,29,1.743,563,323,34.16,,T49,T48,29,28.59,829,29,24
T66,T68,Martin Laird,39,302.1,23562,78,74,81,39,63.74,348,546,28,38,39,70.51,495,702,-0.24,T189,T185,39,1.806,894,495,27.9,,204,200,39,29.85,1164,39,25
T66,T68,Webb Simpson,20,302.1,12083,40,40,42,20,66.07,185,280,7,10,20,72.5,261,360,-0.36,2,2,20,1.69,441,261,37.31,,7,5,20,28.05,561,20,23
T68,70,Zack Sucher,30,301.9,18116,60,220,219,30,51.07,214,419,T65,T80,30,68.52,370,540,-0.27,T156,T152,30,1.784,660,370,31.62,,T185,T178,30,29.6,888,30,26
T68,46,Marc Leishman,33,301.9,15095,50,213,209,33,52.4,240,458,T167,T144,33,64.81,385,594,-0.28,T139,T147,33,1.7790000000000001,685,385,30.21,,T84,T122,33,28.85,952,33,23
70,53,Lucas Glover,39,301.8,16298,54,67,62,39,64.33,348,541,T84,62,39,67.81,476,702,-0.26,T187,184,39,1.805,859,476,30.11,,199,198,39,29.77,1161,39,24
T71,T71,Cameron Tringale,46,301.7,27760,92,210,208,46,52.72,339,643,T63,T77,46,68.6,568,828,-0.26,T141,T140,46,1.78,1011,568,29.28,,T110,99,46,28.98,1333,46,24
T71,T71,Aaron Wise,31,301.7,18703,62,T130,131,31,59.82,259,433,11,16,31,71.86,401,558,-0.22,T197,T193,31,1.81,726,401,28.5,,224,219,31,30.26,938,31,27
73,59,Viktor Hovland,30,301.6,13269,44,34,24,30,66.99,278,415,T115,T54,30,66.85,361,540,-0.32,17,T8,30,1.72,621,361,32.31,,T76,T69,30,28.8,864,30,24
74,76,Martin Trainer,34,301.4,20496,68,226,223,34,48.02,230,479,231,228,34,51.63,316,612,-0.25,203,199,34,1.8130000000000002,573,316,30.57,,T35,T36,34,28.47,968,34,22
75,77,Justin Thomas,28,301.3,12051,40,144,149,28,58.67,230,392,12,18,28,71.63,361,504,-0.35,15,17,28,1.7169999999999999,620,361,37.95,,T61,T62,28,28.71,804,28,23
76,T71,Phil Mickelson,27,301.1,11440,38,182,T174,27,56.23,212,377,174,T155,27,64.61,314,486,-0.32,T67,T72,27,1.7519999999999998,550,314,33.44,,25,42,27,28.33,765,27,22
77,78,Dominic Bozzelli,32,301.0,19267,64,T221,220,32,51.01,228,447,T210,214,32,62.5,360,576,-0.34,3,3,32,1.6969999999999998,611,360,37.6,,14,T13,32,28.22,903,32,20
T78,52,Abraham Ancer,40,300.5,16828,56,85,75,40,63.13,351,556,110,T63,40,67.08,483,720,-0.29,T74,T63,40,1.754,847,483,31.33,,T58,58,40,28.68,1147,40,22
T78,81,J.B. Holmes,24,300.5,13221,44,116,123,24,60.77,206,339,226,226,24,60.65,262,432,-0.34,16,18,24,1.7180000000000002,450,262,34.62,,5,4,24,27.92,670,24,24
80,75,Sepp Straka,38,300.4,22827,76,107,104,38,61.84,329,532,129,105,38,66.52,455,684,-0.23,T199,T191,38,1.811,824,455,26.65,,T172,184,38,29.5,1121,38,25
81,80,Harry Higgs,53,300.3,31827,106,T64,54,53,64.51,478,741,109,T68,53,67.09,640,954,-0.3,T35,T38,53,1.7380000000000002,1112,640,31.3,,26,T36,53,28.34,1502,53,21
T82,82,Talor Gooch,50,300.1,30014,100,156,148,50,58.14,407,700,99,73,50,67.44,607,900,-0.3,T71,T85,50,1.7530000000000001,1064,607,30.86,,T82,T100,50,28.84,1442,50,24
T82,79,Sam Ryder,50,300.1,30006,100,128,130,50,60.0,420,700,T119,T115,50,66.67,600,900,-0.28,T119,115,50,1.768,1061,600,31.05,,73,74,50,28.78,1439,50,23
T82,83,Vince Covello,21,300.1,12604,42,139,141,21,59.18,174,294,T119,T144,21,66.67,252,378,-0.24,T175,T170,21,1.794,452,252,27.6,,T181,T173,21,29.57,621,21,25
T82,T66,Jason Day,21,300.1,7802,26,158,160,21,57.79,167,289,T119,T144,21,66.67,252,378,-0.29,T59,50,21,1.75,441,252,31.08,,T67,53,21,28.76,604,21,25
86,74,Kevin Chappell,31,300.0,18599,62,193,196,31,54.73,237,433,193,180,31,63.8,356,558,-0.27,T105,T88,31,1.764,628,356,30.9,,72,T59,31,28.77,892,31,23
T87,T88,Seamus Power,22,299.5,13179,44,179,T182,22,56.35,173,307,T93,121,22,67.68,268,396,-0.34,8,10,22,1.709,458,268,35.58,,T37,T39,22,28.5,627,22,24
T87,T88,Peter Uihlein,29,299.5,17370,58,228,225,29,47.9,194,405,83,T107,29,67.82,354,522,-0.29,T141,T140,29,1.78,630,354,30.79,,T115,T105,29,29.03,842,29,23
T87,T84,Matt Jones,46,299.5,25159,84,150,146,46,58.32,375,643,145,101,46,65.94,546,828,-0.27,T153,T136,46,1.7819999999999998,973,546,30.02,,T138,T150,46,29.24,1345,46,25
90,90,Shawn Stefani,26,299.3,15563,52,T122,128,26,60.44,220,364,69,87,26,68.38,320,468,-0.29,T136,T136,26,1.778,569,320,31.25,,T172,163,26,29.5,767,26,21
91,87,Scott Piercy,44,299.1,21532,72,91,105,44,62.85,384,611,133,137,44,66.29,525,792,-0.27,133,T123,44,1.775,932,525,28.49,,T129,T129,44,29.16,1283,44,24
